Num_Acc,dep,lat,long,date,hrmn,atm,mortel
201900033831,31,43.6142000,1.4378900,2019-09-01,20:20,1,False
201900033839,15,44.9231290,2.4362600,2019-09-02,18:35,1,False
201900033845,11,43.1806200,2.9752900,2019-08-30,23:50,1,False
201900033883,62,50.6368300,2.1889370,2019-09-02,13:30,1,False
201900033886,62,50.9442360,2.1267170,2019-09-02,14:10,7,False
201900033909,59,50.6243600,3.0698000,2019-02-10,06:40,1,False
201900033913,51,49.2195754,4.0211625,2019-03-03,09:45,1,False
201900033925,34,43.5997000,3.8757100,2019-03-04,13:36,1,False
201900033930,29,47.9808333, -4.1212528,2019-03-03,12:05,3,False
201900033939,10,48.3207100,4.0973600,2019-03-04,09:00,6,False
201900033943,75,48.8936630,2.3479490,2019-03-04,09:20,8,False
201900033945,75,48.8254580,2.3023080,2019-03-03,18:05,1,False
201900033990,16,45.6569780, -0.0936850,2019-03-05,12:30,1,False
201900033993,17,46.0569060, -0.8788250,2019-03-03,11:10,1,False
201900034009,22,48.4554195, -2.5363441,2019-03-05,14:20,6,False
201900034022,49,47.4611300, -0.4899100,2019-02-23,12:31,1,False
201900034048,92,48.9152300,2.2466890,2019-02-14,16:40,1,False
201900034070,974, -20.8728400,55.4512000,2019-02-24,11:00,1,False
201900034072,974, -20.9746900,55.6816600,2019-02-28,18:08,1,False
201900034075,974, -20.9375000,55.3158000,2019-03-01,09:30,1,False
201900034079,2A,42.2556376,8.6697597,2019-04-02,14:50,1,False
201900034095,84,44.1301780,5.1009730,2019-04-11,11:00,1,False
201900034108,31,43.4080260,1.3856430,2019-04-08,09:30,1,False
201900034121,95,49.0165500,2.2001700,2019-04-07,19:00,1,False
201900034122,49,47.4635800, -0.5481600,2019-04-08,08:01,1,False
201900034131,93,48.9264090,2.5408180,2019-02-06,06:45,2,False
201900034132,93,48.9122400,2.3811400,2019-01-12,16:55,2,False
201900034145,974, -21.3286300,55.4813000,2019-04-08,19:30,1,False
201900034151,974, -20.9497900,55.2971800,2019-04-07,18:20,1,False
201900034154,69,45.7316000,4.8239200,2019-04-09,07:22,1,False
201900034162,69,45.7756500,4.8105800,2019-04-08,09:40,1,False
201900034176,86,46.5736865,0.3918225,2019-04-09,09:50,1,False
201900034182,78,48.9935000,1.9123100,2019-04-08,11:00,1,False
201900034190,68,48.0657000,7.3420000,2019-04-02,17:51,1,False
201900034196,64,43.4881900, -1.4916700,2019-04-06,17:00,1,False
201900034200,59,50.6206200,3.0469900,2019-03-26,12:50,1,False
201900034206,56,47.7194000, -3.3745000,2019-04-06,01:25,1,False
201900034208,50,49.6486100, -1.5760500,2019-04-06,10:00,1,False
201900034214,49,47.4727900, -0.5769000,2019-04-06,15:46,1,False
201900034229,38,45.1857300,5.7428000,2019-04-09,18:00,1,False
201900034242,30,43.8727300,4.3570400,2019-04-08,11:30,1,False
201900034261,11,43.2117260,2.3873660,2019-07-24,03:45,1,True
201900034274,75,48.8536990,2.2876780,2019-07-23,10:00,1,False
201900034276,75,48.8760420,2.3402080,2019-07-24,10:20,1,False
201900034279,94,48.8100100,2.4985700,2019-07-23,16:10,1,False
201900034294,92,48.8183500,2.2161100,2019-07-21,12:35,1,False
201900034300,63,45.7856654,2.7485565,2019-07-25,17:00,1,False
201900034306,57,49.0572810,6.7788273,2019-07-25,05:20,1,False
201900034308,56,47.7995420, -3.4769310,2019-07-25,10:05,1,False
201900034343,34,43.6581100,3.9631450,2019-07-25,00:00,1,False
201900034403,56,47.7354600, -3.5003400,2019-07-22,11:00,1,False
201900034411,45,47.9005000,1.9135000,2019-07-23,12:20,1,False
201900034413,35,48.1099100, -1.6628500,2019-07-23,18:20,1,False
201900034414,35,48.1530400, -1.6845800,2019-07-23,09:45,1,False
201900034431,13,43.8031200,4.6733100,2019-05-06,17:25,1,False
201900034477,13,43.3352300,5.4777600,2019-05-21,17:20,1,False
201900034500,13,43.3312000,5.3649400,2019-05-16,21:00,1,False
201900034514,13,43.3019720,5.4226850,2019-05-12,09:00,1,False
201900034616,10,48.3000000,4.0900000,2019-05-25,18:10,2,False
201900034619,10,48.3212000,4.0544000,2019-05-17,16:35,1,False
201900034623,10,48.2968000,4.0755000,2019-05-11,15:27,2,False
201900034635,29,47.8711700, -3.9218800,2019-12-13,20:35,2,False
201900034640,10,48.2895000,4.0460000,2019-12-14,16:17,2,False
201900034663,75,48.8344500,2.3334430,2019-12-14,20:00,1,False
201900034688,32,43.5255260,0.9854010,2019-12-14,15:18,1,False
201900034691,12,44.1757750,2.7302380,2019-12-15,12:45,1,False
201900034761,78,48.9934800,1.9112800,2019-12-13,07:30,3,False
201900034762,77,48.5872000,2.5951000,2019-12-12,18:22,3,False
201900034772,64,43.3174200, -0.3601800,2019-12-13,17:40,3,False
201900034773,64,43.3245100, -0.3255800,2019-12-13,16:45,3,False
201900034786,44,47.2704080, -2.2247520,2019-12-01,08:40,1,False
201900034791,38,45.5230300,4.8720000,2019-12-13,06:15,2,False
201900034796,33,44.8685400, -0.5523000,2019-12-13,09:00,1,False
201900034801,12,44.4731300,2.8014240,2019-11-09,11:30,1,False
201900034816,72,48.3970900,0.1362780,2019-11-07,18:35,1,False
201900034884,92,48.8149800,2.3188300,2019-11-07,14:00,1,False
201900034887,5,44.5646340,6.4941160,2019-06-16,11:50,1,True
201900034892,69,45.7464500,4.8858800,2019-11-07,08:45,2,False
201900034898,91,48.6961400,2.2893600,2019-11-07,05:45,2,False
201900034912,62,50.4107500,1.5655000,2019-11-06,15:55,1,False
201900034930,35,48.1226400, -1.7037800,2019-11-07,09:00,1,False
201900034931,35,48.0869600, -1.6823800,2019-11-07,08:15,1,False
201900034944,19,45.1588700,1.5114700,2019-11-05,17:15,8,False
201900034945,17,46.1432400, -1.1538100,2019-11-07,08:50,2,False
201900034947,11,43.1841700,3.0085400,2019-11-05,18:35,1,False
201900034955,75,48.8902718,2.3599148,2019-11-06,13:44,1,False
201900034972,21,47.3449800,5.0450100,2019-06-21,11:15,1,False
201900034986,59,50.6335000,3.0843000,2019-06-16,03:30,1,False
201900035012,75,48.8443430,2.4416650,2019-06-23,08:10,1,False
201900035052,15,44.9446360,2.5562550,2019-06-24,08:20,1,False
201900035055,5,44.5565823,6.4722480,2019-06-24,07:00,1,False
201900035074,95,49.0906769,2.5007503,2019-06-23,16:10,1,False
201900035078,77,48.6434519,2.8765214,2019-06-22,16:00,1,False
201900035082,84,44.2383800,4.7116490,2019-06-19,11:30,1,True
201900035109,45,47.9163245,1.9660526,2019-06-18,18:25,1,False
201900035125,69,45.7152200,4.9058200,2019-06-20,16:20,1,False
201900035126,69,45.7660000,4.8490000,2019-06-20,16:45,1,False
201900035127,69,45.7550600,4.8428100,2019-06-20,10:35,1,False
201900035130,69,45.7635537,4.8399471,2019-06-17,15:21,1,False
201900035134,69,45.7688000,4.8296000,2019-06-22,17:25,1,False
201900035164,92,48.8645130,2.2136690,2019-10-04,09:24,1,False
201900035169,35,48.2086230, -1.7555480,2019-09-26,08:15,8,False
201900035177,62,50.3082930,2.2170120,2019-10-02,18:40,1,False
201900035185,65,43.0032230, -0.1060740,2019-10-05,11:40,1,False
201900035203,987, -16.6308330, -151.5040280,2019-09-08,05:40,1,True
201900035220,59,50.4725550,3.2477090,2019-10-05,11:15,1,False
201900035245,40,43.6922700, -1.0660000,2019-07-21,09:40,1,False
201900035282,54,48.6411410,6.2165020,2019-04-29,08:45,1,False
201900035296,14,49.2000100, -0.2957900,2019-10-03,18:25,1,False
201900035318,75,48.8293008,2.3226650,2019-10-02,12:35,1,False
201900035320,75,48.8790604,2.3232349,2019-10-03,08:55,1,False
201900035321,75,48.8575470,2.3240402,2019-10-03,00:01,1,False
201900035325,94,48.8026258,2.4831150,2019-10-01,16:45,2,False
201900035326,94,48.8099000,2.3274700,2019-10-03,17:40,1,False
201900035334,38,45.1673900,5.7284700,2019-01-16,16:30,1,False
201900035335,17,46.1560200, -1.1430400,2019-01-18,14:44,1,False
201900035345,974, -21.3300700,55.4737600,2019-01-18,12:50,1,False
201900035349,974, -20.9436500,55.6501300,2019-01-19,20:10,1,False
201900035351,973,4.9331066, -52.3094702,2019-01-17,09:50,1,False
201900035352,69,45.7458200,4.8346900,2019-01-20,14:25,1,False
201900035384,91,48.7075000,2.5169000,2019-01-19,17:25,2,False
201900035422,67,48.5920600,7.7042100,2019-01-17,20:40,1,False
201900035440,56,47.8038000, -3.2679300,2019-01-16,13:21,8,False
201900035441,52,48.1087000,5.1363700,2019-01-16,14:20,1,False
201900035442,52,48.0846600,5.1458800,2019-01-16,12:15,1,False
201900035453,49,47.4763700, -0.5410900,2019-01-18,00:06,1,False
201900035459,45,47.9242560,1.9412410,2019-01-18,07:30,1,False
201900035462,44,47.2528900, -1.6247700,2019-01-17,15:45,1,False
201900035463,44,47.2528900, -1.6247700,2019-01-17,15:30,1,False
201900035470,37,47.3725425,0.6781797,2019-01-17,13:50,1,False
